t; x; y; theta
8899372.703001; 0.00; 0.00; 0.00
8916318.160000; 0.00; 0.00; 0.00
8930896.859001; 0.00; 0.00; 0.00
8947856.915001; 0.00; 0.00; 0.00
8962363.764000; 0.00; 0.00; 0.00
8979289.533001; 0.00; 0.00; 0.00
8996246.294001; 0.00; 0.00; 0.00
9010894.650000; 0.00; 0.00; 0.00
9027895.177002; 0.00; 0.00; 0.00
9042391.696001; 0.00; 0.00; 0.00
9059502.535999; 0.00; 0.00; 0.00
9076506.192001; 0.00; 0.00; 0.00
9090484.838001; 0.00; 0.00; 0.00
9107504.044001; 0.00; 0.00; 0.00
9124455.900000; 0.00; 0.00; 0.00
9139188.097000; 0.00; 0.00; 0.00
9156201.092001; 0.00; 0.00; 0.00
9173203.576002; 0.00; 0.00; 0.00
9186977.563000; 0.00; 0.00; 0.00
9203990.051001; 0.00; 0.00; 0.00
9218600.326000; 0.00; 0.00; 0.00
9235547.345001; 0.00; 0.00; 0.00
9252574.128000; 0.00; 0.00; 0.00
9266920.223001; 0.00; 0.00; 0.00
9283840.678999; 0.00; 0.00; 0.00
9298584.727001; 0.00; 0.00; 0.00
9315543.851000; 0.00; 0.00; 0.00
9332492.993000; 0.00; 0.00; 0.00
9347203.250999; 0.00; 0.00; 0.00
9364133.705999; 0.00; 0.00; 0.00
9381059.369001; 0.00; 0.00; 0.00
9394816.179001; 0.00; 0.00; 0.00
9411205.544001; 0.00; 0.00; 0.00
9428240.549002; 0.00; 0.00; 0.00
9442838.819000; 0.00; 0.00; 0.00
9459791.825001; 0.00; 0.00; 0.00
9476751.071001; 0.00; 0.00; 0.00
9491111.033001; 0.00; 0.00; 0.00
9508006.462999; 0.00; 0.00; 0.00
9522703.939001; 0.00; 0.00; 0.00
9539620.087999; 0.00; 0.00; 0.00
9556522.570999; 0.00; 0.00; 0.00
9571273.365999; 0.00; 0.00; 0.00
9588192.840000; 0.00; 0.00; 0.00
9602952.401001; 0.00; 0.00; 0.00
9619866.998001; 0.00; 0.00; 0.00
9636771.341000; 0.00; 0.00; 0.00
9650826.743999; 0.00; 0.00; 0.00
9667732.757999; 0.00; 0.00; 0.00
9684590.683001; 0.00; 0.00; 0.00
9698844.289999; 0.00; 0.00; 0.00
9715764.356001; 0.00; 0.00; 0.00
9730441.346001; 0.00; 0.00; 0.00
9747362.778000; 0.00; 0.00; 0.00
9764304.251001; 0.00; 0.00; 0.00
9781288.060999; 0.00; 0.00; 0.00
9795129.199999; 0.00; 0.00; 0.00
9812130.305000; 0.00; 0.00; 0.00
9829099.055000; 0.00; 0.00; 0.00
9842870.870001; 0.00; 0.00; 0.00
9859812.292002; 0.00; 0.00; 0.00
9876846.906002; 0.00; 0.00; 0.00
9890616.134001; 0.00; 0.00; 0.00
9907638.078001; 0.00; 0.00; 0.00
9924608.221001; 0.00; 0.00; 0.00
9939360.834000; 0.00; 0.00; 0.00
9956301.570000; 0.00; 0.00; 0.00
9970905.136000; 0.00; 0.00; 0.00
9987836.226000; 0.00; 0.00; 0.00
10002567.868002; 0.00; 0.00; 0.00
10019501.414001; 0.00; 0.00; 0.00
10036450.593000; 0.00; 0.00; 0.00
10051190.518002; 0.00; 0.00; 0.00
10068153.178001; 0.00; 0.00; 0.00
10085058.579000; 0.00; 0.00; 0.00
10098889.794001; 0.00; 0.00; 0.00
10115773.372999; 0.00; 0.00; 0.00
10132686.730001; 0.00; 0.00; 0.00
10147323.337999; 0.00; 0.00; 0.00
10164219.605000; 0.00; 0.00; 0.00
10181175.387001; 0.00; 0.00; 0.00
10194960.969000; 0.00; 0.00; 0.00
10211898.746000; 0.00; 0.00; 0.00
10228856.399000; 0.00; 0.00; 0.00
10242611.705999; 0.00; 0.00; 0.00
10259541.952000; 0.00; 0.00; 0.00
10276477.750000; 0.00; 0.00; 0.00
10291063.576000; 0.00; 0.00; 0.00
10308023.992001; 0.00; 0.00; 0.00
10322642.156000; 0.00; 0.00; 0.00
10339533.777000; 0.00; 0.00; 0.00
10356457.327002; 0.00; 0.00; 0.00
10373363.225000; 0.00; 0.00; 0.00
10387137.966002; 0.00; 0.00; 0.00
10404151.058001; 0.00; 0.00; 0.00
10420151.234001; 0.00; 0.00; 0.00
10435038.195000; 0.00; 0.00; 0.00
10452008.805000; 0.00; 0.00; 0.00
10468969.459000; 0.00; 0.00; 0.00
10482914.240999; 0.00; 0.00; 0.00
10499875.901001; 0.00; 0.00; 0.00
10514568.964001; 0.00; 0.00; 0.00
10531488.571001; 0.00; 0.00; 0.00
10548465.554001; 0.00; 0.00; 0.00
10565721.110001; 0.00; 0.00; 0.60
10579538.998001; 0.00; 0.00; 1.84
10596481.108002; 0.00; 0.00; 3.36
10611232.612000; 0.00; 0.00; 4.69
10628195.250002; 0.00; 0.00; 6.22
10642945.094002; 0.00; 0.00; 7.54
10659870.995001; 0.00; 0.00; 9.06
10676851.058001; 0.00; 0.00; 10.59
10690617.757000; 0.00; 0.00; 11.83
10707840.988001; 0.00; 0.00; 13.38
10722589.903999; 0.00; 0.00; 14.70
10739522.614000; 0.00; 0.00; 16.23
10756485.261999; 0.00; 0.00; 17.75
10771288.035000; 0.00; 0.00; 19.08
10788362.763000; 0.00; 0.00; 20.62
10805310.154001; 0.00; 0.00; 22.14
