t; x; y; theta
946345331.725002; 0.00; 0.00; 0.00
946359179.494003; 0.00; 0.00; 0.00
946376203.414001; 0.00; 0.00; 0.00
946393220.800003; 0.00; 0.00; 0.00
946407760.815002; 0.00; 0.00; 0.00
946424773.795002; 0.00; 0.00; 0.00
946441818.320000; 0.00; 0.00; 0.00
946455676.809002; 0.00; 0.00; 0.00
946472733.063999; 0.00; 0.00; 0.00
946487348.701000; 0.00; 0.00; 0.00
946504361.634998; 0.00; 0.00; 0.00
946521389.050999; 0.00; 0.00; 0.00
946535186.923000; 0.00; 0.00; 0.00
946552167.792999; 0.00; 0.00; 0.00
946569158.551003; 0.00; 0.00; 0.00
946582953.444000; 0.00; 0.00; 0.00
946599987.180000; 0.00; 0.00; 0.00
946617008.103001; 0.00; 0.00; 0.00
946631430.346001; 0.00; 0.00; 0.00
946648422.008999; 0.00; 0.00; 0.00
946663220.641003; 0.00; 0.00; 0.00
946679382.889004; 0.00; 0.00; 0.00
946696555.079998; 0.00; 0.00; 0.00
946711359.924004; 0.00; 0.00; 0.00
946728404.293003; 0.00; 0.00; 0.00
946745410.506001; 0.00; 0.00; 0.00
946759251.612000; 0.00; 0.00; 0.00
946776256.498001; 0.00; 0.00; 0.00
946790770.549000; 0.00; 0.00; 0.00
946807802.923000; 0.00; 0.00; 0.00
946824762.797001; 0.00; 0.00; 0.00
946839268.700001; 0.00; 0.00; 0.00
946856262.882000; 0.00; 0.00; 0.00
946873260.729004; 0.00; 0.00; 0.00
946887450.440998; 0.00; 0.00; 0.00
946904430.286999; 0.00; 0.00; 0.00
946921511.087002; 0.00; 0.00; 0.00
946935430.170998; 0.00; 0.00; 0.00
946952449.565998; 0.00; 0.00; 0.00
946967144.278999; 0.00; 0.00; 0.00
946984214.960999; 0.00; 0.00; 0.00
947001166.424000; 0.00; 0.00; 0.00
947015328.785999; 0.00; 0.00; 0.00
947032495.945000; 0.00; 0.00; 0.00
947047301.785999; 0.00; 0.00; 0.00
947064278.187000; 0.00; 0.00; 0.00
947081224.801998; 0.00; 0.00; 0.00
947095784.618999; 0.00; 0.00; 0.00
947112729.904999; 0.00; 0.00; 0.00
947127294.388000; 0.00; 0.00; 0.00
947144233.300999; 0.00; 0.00; 0.00
947161139.570999; 0.00; 0.00; 0.00
947175711.656002; 0.00; 0.00; 0.00
947192686.855003; 0.00; 0.00; 0.00
947207272.080002; 0.00; 0.00; 0.00
947224191.872002; 0.00; 0.00; 0.00
947241092.934002; 0.00; 0.00; 0.00
947255601.528000; 0.00; 0.00; 0.00
947272576.621002; 0.00; 0.00; 0.00
947287265.359001; 0.00; 0.00; 0.00
947304242.356003; 0.00; 0.00; 0.00
947321184.535999; 0.00; 0.00; 0.00
947335706.924999; 0.00; 0.00; 0.00
947352653.209003; 0.00; 0.00; 0.00
947367223.799000; 0.00; 0.00; 0.00
947384146.061001; 0.00; 0.00; 0.00
947401180.652000; 0.00; 0.00; 0.00
947415140.610001; 0.00; 0.00; 0.00
947432238.465004; 0.00; 0.00; 0.00
947446982.899998; 0.00; 0.00; 0.00
947463970.197998; 0.00; 0.00; 0.00
947480972.346001; 0.00; 0.00; 0.00
947494946.882999; 0.00; 0.00; 0.00
947511936.153999; 0.00; 0.00; 0.00
947529009.924999; 0.00; 0.00; 0.00
947542982.743000; 0.00; 0.00; 0.00
947560023.734001; 0.00; 0.00; 0.00
947577072.720001; 0.00; 0.00; 0.00
947591621.626999; 0.00; 0.00; 0.00
947609050.990002; 0.00; 0.00; 0.00
947623664.881001; 0.00; 0.00; 0.00
947640664.743999; 0.00; 0.00; 0.00
947655166.284000; 0.00; 0.00; 0.00
947672202.291000; 0.00; 0.00; 0.00
947688421.288002; 0.00; 0.00; 0.00
947703155.514000; 0.00; 0.00; 0.00
947720310.965000; 0.00; 0.00; 0.00
947735040.348999; 0.00; 0.00; 0.00
947752044.749001; 0.00; 0.00; 0.00
947769253.293999; 0.00; 0.00; 0.00
947783199.770000; 0.00; 0.00; 0.00
947800216.085999; 0.00; 0.00; 0.00
947814939.956001; 0.00; 0.00; 0.00
947831921.278999; 0.00; 0.00; 0.00
947848970.083000; 0.00; 0.00; 0.00
947863457.754002; 0.00; 0.00; 0.00
947880552.552998; 0.00; 0.00; 0.00
947895163.256001; 0.00; 0.00; 0.00
947912197.747002; 0.00; 0.00; 0.00
947927082.605999; 0.00; 0.00; 0.00
