t; x; y; theta
32115556.033001; 1.09; 0.23; 0.00
32130765.304001; 1.09; 0.23; 0.00
32148423.930000; 1.09; 0.23; 0.00
32163604.567001; 1.09; 0.23; 0.00
32178899.623997; 1.09; 0.23; 0.00
32196768.889999; 1.09; 0.23; 0.00
32211361.789997; 1.09; 0.23; 0.00
32229717.402000; 1.09; 0.23; 0.00
32244334.848999; 1.09; 0.23; 0.00
32259480.987999; 1.09; 0.23; 0.00
32274615.185001; 1.09; 0.23; 0.00
32291934.480999; 1.09; 0.23; 0.00
32309140.672001; 1.09; 0.23; 0.00
32323141.066002; 1.09; 0.23; 0.00
32340277.564999; 1.09; 0.23; 0.00
32357408.699001; 1.09; 0.23; 0.00
32371368.808002; 1.09; 0.23; 0.00
32388502.334999; 1.09; 0.23; 0.00
32402522.777000; 1.09; 0.23; 0.00
32419379.507999; 1.09; 0.23; 0.00
32436647.826000; 1.09; 0.23; 0.00
32451319.251003; 1.09; 0.23; 0.00
32468577.722000; 1.09; 0.23; 0.00
32483476.093002; 1.09; 0.23; 0.00
32500659.678001; 1.09; 0.23; 0.00
32515051.190998; 1.09; 0.23; 0.00
32532200.870998; 1.09; 0.23; 0.00
32549354.043999; 1.09; 0.23; 0.00
32563290.058002; 1.09; 0.23; 0.00
32580412.818001; 1.09; 0.23; 0.00
32594700.502003; 1.09; 0.23; 0.00
32612067.090000; 1.09; 0.23; 0.00
32629439.805000; 1.09; 0.23; 0.00
32643445.280998; 1.09; 0.23; 0.00
32660791.059998; 1.09; 0.23; 0.00
32675353.803997; 1.09; 0.23; 0.00
32692570.241001; 1.09; 0.23; 0.00
32706919.155998; 1.09; 0.23; 0.00
32724180.686001; 1.09; 0.23; 0.00
32739059.375999; 1.09; 0.23; 0.00
32756292.438999; 1.09; 0.23; 0.00
32771128.939999; 1.09; 0.23; 0.00
32788358.317001; 1.09; 0.23; 0.00
32803254.844002; 1.09; 0.23; 0.00
32820463.858997; 1.09; 0.23; 0.00
32835407.327000; 1.09; 0.23; 0.00
32852587.776001; 1.09; 0.23; 0.00
32866655.007000; 1.09; 0.23; 0.00
32883899.548000; 1.09; 0.23; 0.00
32899067.621002; 1.09; 0.23; 0.00
32916315.227001; 1.09; 0.23; 0.00
32931547.241001; 1.09; 0.23; 0.00
32948830.276001; 1.09; 0.23; 0.00
32962820.845001; 1.09; 0.23; 0.00
32980022.490997; 1.09; 0.23; 0.00
32994958.629997; 1.09; 0.23; 0.00
33012144.572998; 1.09; 0.23; 0.00
33027155.873001; 1.09; 0.23; 0.00
33044680.237003; 1.09; 0.23; 1.79
33058869.181999; 1.09; 0.23; 4.34
33076153.999001; 1.09; 0.23; 7.45
33091350.418003; 1.09; 0.23; 10.18
33108711.334999; 1.09; 0.23; 13.29
33122917.410000; 1.09; 0.23; 15.86
33140245.141998; 1.09; 0.23; 18.97
33155142.007000; 1.09; 0.23; 21.66
33172387.595001; 1.09; 0.23; 24.76
33187337.104000; 1.09; 0.23; 27.45
33204438.167000; 1.09; 0.23; 30.53
33219260.164001; 1.09; 0.23; 33.19
33236685.505001; 1.09; 0.23; 36.30
33251198.095001; 1.09; 0.23; 38.91
33269149.604000; 1.09; 0.23; 42.16
33283872.030998; 1.09; 0.23; 44.79
33299417.275002; 1.09; 0.23; 47.59
33317369.151001; 1.09; 0.23; 50.83
33331737.221001; 1.09; 0.23; 53.41
33346932.744999; 1.09; 0.23; 56.13
33364371.851997; 1.09; 0.23; 59.28
33381827.563000; 1.09; 0.23; 62.42
33396411.789997; 1.09; 0.23; 65.03
33410856.986000; 1.09; 0.23; 67.65
33427464.215000; 1.09; 0.23; 69.66
33444650.265003; 1.09; 0.23; 71.60
33459549.445000; 1.09; 0.23; 73.26
33474795.488998; 1.09; 0.23; 74.99
33492182.083000; 1.09; 0.23; 76.95
33506632.401001; 1.09; 0.23; 78.58
33524194.305000; 1.09; 0.23; 80.54
33539081.325001; 1.09; 0.23; 82.22
33556607.363998; 1.09; 0.23; 84.19
33570897.503998; 1.09; 0.23; 85.82
33588679.350998; 1.09; 0.23; 87.80
33603632.919998; 1.09; 0.23; 89.49
33621407.181000; 1.09; 0.23; 91.50
33635513.763000; 1.09; 0.23; 93.09
33650838.464001; 1.09; 0.23; 94.81
33668695.463001; 1.09; 0.23; 96.83
33683413.493000; 1.09; 0.23; 98.48
33701006.381001; 1.09; 0.23; 100.47
33715460.125000; 1.09; 0.23; 102.09
33733287.875000; 1.09; 0.23; 104.10
33747619.509003; 1.09; 0.23; 105.70
33763163.117001; 1.09; 0.23; 107.46
33780685.216000; 1.09; 0.23; 109.44
33795068.195999; 1.09; 0.23; 111.05
33812575.355000; 1.09; 0.23; 113.03
33827057.434998; 1.09; 0.23; 114.65
33845264.681999; 1.09; 0.23; 116.70
33859431.188000; 1.09; 0.23; 118.30
33874680.523998; 1.09; 0.23; 120.02
33892338.054001; 1.09; 0.23; 122.01
33906613.986000; 1.09; 0.23; 123.62
33924463.681999; 1.09; 0.23; 125.63
33938748.694000; 1.09; 0.23; 127.24
33956563.047001; 1.09; 0.23; 129.24
33970729.241001; 1.09; 0.23; 130.84
33988417.872002; 1.09; 0.23; 132.83
34003594.067001; 1.09; 0.23; 134.54
34021626.578999; 1.09; 0.23; 136.56
34036200.358002; 1.09; 0.23; 138.20
34051054.806000; 1.09; 0.23; 139.88
34068496.383999; 1.09; 0.23; 141.85
34083585.873001; 1.09; 0.23; 143.55
34100987.612999; 1.09; 0.23; 145.51
34115374.175999; 1.09; 0.23; 147.13
34132763.875999; 1.09; 0.23; 149.09
34147360.926998; 1.09; 0.23; 150.73
34164788.656998; 1.09; 0.23; 152.70
34178964.013000; 1.09; 0.23; 154.29
34196864.956001; 1.09; 0.23; 156.31
34211534.105999; 1.09; 0.23; 157.95
34226940.875000; 1.09; 0.23; 159.68
34245068.688000; 1.09; 0.23; 161.74
34259333.867001; 1.09; 0.23; 163.33
34277373.485001; 1.09; 0.23; 165.37
34292006.305000; 1.09; 0.23; 167.01
34307060.085999; 1.09; 0.23; 168.72
34325138.148998; 1.09; 0.23; 170.75
34339546.613998; 1.09; 0.23; 172.36
34354567.959003; 1.09; 0.23; 174.07
34372195.520000; 1.09; 0.23; 176.05
34387232.522999; 1.09; 0.23; 177.75
34404856.329002; 1.09; 0.23; 179.73
34418987.511997; 1.09; 0.23; -179.28
34436335.009998; 1.08; 0.23; -179.28
34451031.311001; 1.08; 0.23; -179.28
34468618.865002; 1.08; 0.23; -179.28
34482790.327000; 1.07; 0.23; -179.28
34500446.223000; 1.07; 0.23; -179.28
34514586.085999; 1.06; 0.23; -179.28
34532067.669998; 1.06; 0.23; -179.28
34547073.885002; 1.05; 0.23; -179.28
34564530.558998; 1.05; 0.23; -179.28
34578616.192001; 1.05; 0.23; -179.28
34595933.983002; 1.04; 0.23; -179.28
34611022.669998; 1.04; 0.23; -179.28
34628840.590000; 1.03; 0.23; -179.28
34642908.991001; 1.03; 0.23; -179.28
34660347.830002; 1.02; 0.23; -179.28
34674917.248001; 1.02; 0.23; -179.28
34692455.185001; 1.02; 0.23; -179.28
34706980.964001; 1.01; 0.23; -179.28
34725062.254002; 1.01; 0.23; -179.28
34739380.833000; 1.00; 0.23; -179.28
34757541.105000; 1.00; 0.23; -179.28
34771757.919998; 1.00; 0.23; -179.28
34787085.095001; 0.99; 0.23; -179.28
34804955.940002; 0.99; 0.23; -179.28
34819367.929001; 0.98; 0.23; -179.28
34836985.289997; 0.98; 0.23; -179.28
34851216.565998; 0.97; 0.23; -179.28
34869024.834000; 0.97; 0.23; -179.28
34883726.024998; 0.97; 0.23; -179.28
34898739.290001; 0.96; 0.23; -179.28
34916386.060001; 0.96; 0.23; -179.28
34930834.436001; 0.95; 0.23; -179.28
34948515.420002; 0.95; 0.23; -179.28
34963658.927002; 0.94; 0.23; -179.28
34981583.134003; 0.94; 0.23; -179.28
34996259.218002; 0.94; 0.23; -179.28
35011536.165997; 0.93; 0.23; -179.28
35029847.183998; 0.93; 0.23; -179.28
35044643.410999; 0.92; 0.23; -179.28
35059629.102001; 0.92; 0.23; -179.28
35074865.688000; 0.92; 0.23; -179.28
35092459.407001; 0.91; 0.23; -179.28
35106998.449001; 0.91; 0.23; -179.28
35124988.339001; 0.90; 0.23; -179.28
35139279.900997; 0.90; 0.23; -179.28
35157063.160999; 0.89; 0.23; -179.28
35171125.331001; 0.89; 0.23; -179.28
35189386.430000; 0.89; 0.23; -179.28
35203799.752003; 0.88; 0.23; -179.28
35221735.288998; 0.88; 0.23; -179.28
35236384.676003; 0.87; 0.23; -179.28
35251595.701000; 0.87; 0.23; -179.28
35266918.284000; 0.86; 0.23; -179.28
35284437.701000; 0.86; 0.23; -179.28
35301643.961998; 0.86; 0.23; -179.28
35316012.341000; 0.85; 0.23; -179.28
35333171.280998; 0.85; 0.23; -179.28
35347492.713001; 0.84; 0.23; -179.28
35362858.804001; 0.84; 0.23; -179.28
35380498.587002; 0.83; 0.23; -179.28
35394876.674999; 0.83; 0.23; -179.28
35412478.348000; 0.83; 0.23; -179.28
35428733.409000; 0.82; 0.23; -179.28
35442794.917999; 0.82; 0.23; -179.28
35460331.577999; 0.81; 0.23; -179.28
35475513.900002; 0.81; 0.23; -179.28
35490777.287998; 0.81; 0.23; -179.28
35508345.294003; 0.80; 0.23; -179.28
35523452.427002; 0.80; 0.23; -179.28
35540839.376999; 0.79; 0.23; -179.28
35555170.806999; 0.79; 0.23; -179.28
35572888.557999; 0.78; 0.23; -179.28
35587372.216999; 0.78; 0.23; -179.28
35604998.929001; 0.78; 0.23; -179.28
35619344.409000; 0.77; 0.23; -179.28
35637023.945000; 0.77; 0.23; -179.28
35651431.292999; 0.76; 0.23; -179.28
35668917.223999; 0.76; 0.23; -179.28
35683479.689999; 0.75; 0.23; -179.28
35700870.240002; 0.75; 0.23; -179.28
35715177.533001; 0.75; 0.23; -179.28
35732658.257999; 0.74; 0.23; -179.28
35747059.673000; 0.74; 0.23; -179.28
35764487.059002; 0.73; 0.23; -179.28
35778770.306000; 0.73; 0.23; -179.28
35796253.989998; 0.73; 0.23; -179.28
35811254.326000; 0.72; 0.23; -179.28
35828381.382000; 0.72; 0.23; -179.28
35843499.712002; 0.71; 0.23; -179.28
35860873.724998; 0.71; 0.23; -179.28
35875561.153999; 0.70; 0.23; -179.28
35892935.139000; 0.70; 0.23; -179.28
35907045.854000; 0.70; 0.23; -179.28
35924375.893002; 0.69; 0.22; -179.28
35938936.285000; 0.69; 0.22; -179.28
35956169.033001; 0.68; 0.22; -179.28
35973496.084000; 0.68; 0.22; -179.28
35987683.915001; 0.67; 0.22; -179.28
36004806.517002; 0.67; 0.22; -179.28
36019569.212997; 0.67; 0.22; -179.28
36034807.203999; 0.66; 0.22; -179.28
36052259.328999; 0.66; 0.22; -179.28
36067418.083000; 0.65; 0.22; -179.28
36085024.106998; 0.65; 0.22; -179.28
36099426.862000; 0.65; 0.22; -179.28
36117052.575996; 0.64; 0.22; -179.28
36131511.087002; 0.64; 0.22; -179.28
36146769.328999; 0.63; 0.22; -179.28
36165427.627003; 0.63; 0.22; -179.28
36179656.896000; 0.62; 0.22; -179.28
36194951.895000; 0.62; 0.22; -179.28
36212947.503002; 0.62; 0.22; -179.28
36227513.486000; 0.61; 0.22; -179.28
36242858.639999; 0.61; 0.22; -179.28
36260998.145000; 0.60; 0.22; -179.28
36275535.553001; 0.60; 0.22; -179.28
36291019.632000; 0.59; 0.22; -179.28
36308891.527000; 0.59; 0.22; -179.28
36323371.487000; 0.59; 0.22; -179.28
36340833.957001; 0.58; 0.22; -179.28
36355212.664001; 0.58; 0.22; -179.28
36372598.896000; 0.57; 0.22; -179.28
36386768.674999; 0.57; 0.22; -179.28
36404109.645000; 0.56; 0.22; -179.28
36420392.306000; 0.56; 0.22; -179.28
36435418.027000; 0.56; 0.22; -179.28
36452587.673000; 0.55; 0.22; -179.28
36466929.476997; 0.55; 0.22; -179.28
36484143.338997; 0.54; 0.22; -179.28
36498595.048000; 0.54; 0.22; -179.28
36515818.445999; 0.54; 0.22; -179.28
36533047.288002; 0.53; 0.22; -179.28
36547162.001999; 0.53; 0.22; -179.28
36564707.058002; 0.52; 0.22; -179.28
36579088.775002; 0.52; 0.22; -179.28
36596544.189999; 0.51; 0.22; -179.28
36611311.241001; 0.51; 0.22; -179.28
36628986.843998; 0.51; 0.22; -179.28
36643158.328999; 0.50; 0.22; -179.28
36660771.049004; 0.50; 0.22; -179.28
36675338.518002; 0.49; 0.22; -179.28
36692698.204998; 0.49; 0.22; -179.28
36707165.028000; 0.48; 0.22; -179.28
36724430.390999; 0.48; 0.22; -179.28
36739017.751999; 0.48; 0.22; -179.28
36756302.186001; 0.47; 0.22; -179.28
36770709.507999; 0.47; 0.22; -179.28
36788196.142002; 0.46; 0.22; -179.28
36805542.073002; 0.46; 0.22; -179.28
36819896.402000; 0.45; 0.22; -179.28
36835055.244999; 0.45; 0.22; -179.28
36852786.778000; 0.45; 0.22; -179.28
36866948.675999; 0.44; 0.22; -179.28
36884410.463001; 0.44; 0.22; -179.28
36899099.170002; 0.43; 0.22; -179.28
36916327.778999; 0.43; 0.22; -179.28
36933574.993000; 0.42; 0.22; -179.28
36947808.811001; 0.42; 0.22; -179.28
36962962.446999; 0.42; 0.22; -179.28
36980226.776001; 0.41; 0.22; -179.28
36997533.999001; 0.41; 0.22; -179.28
37011648.071003; 0.40; 0.22; -179.28
37029217.790001; 0.40; 0.22; -179.28
37043497.600998; 0.40; 0.22; -179.28
37060742.444000; 0.39; 0.22; -179.28
37074865.848000; 0.39; 0.22; -179.28
37092326.751999; 0.38; 0.22; -179.28
37107008.563000; 0.38; 0.22; -179.28
37124549.541000; 0.37; 0.22; -179.28
37139010.884998; 0.37; 0.22; -179.28
37156298.018997; 0.37; 0.22; -179.28
37171324.314999; 0.36; 0.22; -179.28
37188593.257000; 0.36; 0.22; -179.28
37203270.269001; 0.35; 0.22; -179.28
37218771.749001; 0.35; 0.22; -179.28
37236686.625000; 0.34; 0.22; -179.28
37250716.239998; 0.34; 0.22; -179.28
37268528.577999; 0.34; 0.22; -179.28
37283217.414001; 0.33; 0.22; -179.28
37300672.792999; 0.33; 0.22; -179.28
37315058.632000; 0.32; 0.22; -179.28
37332674.491001; 0.32; 0.22; -179.28
37347141.429001; 0.32; 0.22; -179.28
37364586.319000; 0.31; 0.22; -179.28
37379054.526001; 0.31; 0.22; -179.28
37396303.313999; 0.30; 0.22; -179.28
37411358.934002; 0.30; 0.22; -179.28
37427675.351002; 0.29; 0.22; -179.28
37442755.529003; 0.29; 0.22; -179.28
37460228.261997; 0.29; 0.22; -179.28
37475353.231998; 0.28; 0.22; -179.28
37493036.911999; 0.28; 0.22; -179.28
37507438.030998; 0.27; 0.22; -179.28
37525368.566998; 0.27; 0.22; -179.28
37539676.108002; 0.26; 0.22; -179.28
37554864.424999; 0.26; 0.22; -179.28
37572359.554001; 0.26; 0.22; -179.28
37587674.048000; 0.25; 0.22; -179.28
37602972.356998; 0.25; 0.22; -179.28
37620708.292999; 0.24; 0.22; -179.28
37635097.003998; 0.24; 0.22; -179.28
37652584.279999; 0.23; 0.22; -179.28
37666862.315998; 0.23; 0.22; -179.28
37684099.100998; 0.23; 0.22; -179.28
37698701.404999; 0.22; 0.22; -179.28
37716308.035999; 0.22; 0.22; -179.28
37731096.028999; 0.21; 0.22; -179.28
37748585.646999; 0.21; 0.22; -179.28
37762753.778999; 0.21; 0.22; -179.28
37780352.256001; 0.20; 0.22; -179.28
37794932.765003; 0.20; 0.22; -179.28
37812812.595001; 0.19; 0.22; -179.28
37827301.286999; 0.19; 0.22; -179.28
37844730.469002; 0.18; 0.22; -179.28
37858824.158001; 0.18; 0.22; -179.28
37876453.041000; 0.18; 0.22; -179.28
37891571.625000; 0.17; 0.22; -179.28
37909011.723999; 0.17; 0.22; -179.28
37923335.133999; 0.16; 0.22; -179.28
37940649.758003; 0.16; 0.22; -179.28
37954976.174000; 0.16; 0.22; -179.28
37972369.292000; 0.15; 0.22; -179.28
37987585.445000; 0.15; 0.22; -179.28
38002965.855999; 0.14; 0.22; -179.28
38020656.717003; 0.14; 0.22; -179.28
38034767.112000; 0.13; 0.22; -179.28
38052244.090000; 0.13; 0.22; -179.28
38067528.627003; 0.13; 0.22; -179.28
38082699.057999; 0.12; 0.22; -179.28
38100671.902000; 0.12; 0.22; -179.28
38115310.499001; 0.11; 0.22; -179.28
38132681.959000; 0.11; 0.22; -179.28
38147299.131001; 0.10; 0.22; -179.28
38164832.615002; 0.10; 0.22; -179.28
38179201.305000; 0.10; 0.22; -179.28
38196997.132999; 0.09; 0.22; -179.28
38211183.632999; 0.09; 0.22; -179.28
38228540.535999; 0.08; 0.22; -179.28
38243067.167000; 0.08; 0.22; -179.28
38260485.381001; 0.07; 0.22; -179.28
38274827.573002; 0.07; 0.22; -179.28
38292016.271000; 0.07; 0.22; -179.28
38307356.329002; 0.06; 0.22; -179.28
38322770.896999; 0.06; 0.22; -179.28
38340374.323002; 0.05; 0.22; -179.28
38355533.683998; 0.05; 0.22; -179.28
38372941.240002; 0.04; 0.22; -179.28
38387392.435001; 0.04; 0.22; -179.28
38404666.587002; 0.04; 0.22; -179.28
38420854.847000; 0.03; 0.22; -179.29
38434970.557003; 0.03; 0.22; -179.31
38452186.862000; 0.03; 0.22; -179.33
38466598.245998; 0.02; 0.22; -179.35
38484330.820999; 0.02; 0.22; -179.37
38498832.442001; 0.01; 0.22; -179.39
38516768.698002; 0.01; 0.22; -179.41
38530920.576000; 0.01; 0.22; -179.43
38549011.381001; 0.00; 0.22; -179.45
38563497.881001; -0.00; 0.22; -179.47
38581086.349998; -0.00; 0.22; -179.49
38595047.079002; -0.01; 0.22; -179.50
38612914.747002; -0.01; 0.22; -179.53
38627420.856998; -0.01; 0.22; -179.54
38644880.997002; -0.02; 0.22; -179.57
38659444.325001; -0.02; 0.22; -179.58
38676797.095997; -0.03; 0.22; -179.61
38691294.234997; -0.03; 0.22; -179.62
38708774.475998; -0.03; 0.22; -179.65
38723181.598000; -0.04; 0.22; -179.66
38740784.278999; -0.04; 0.22; -179.68
38755528.138000; -0.04; 0.22; -179.70
38773266.287998; -0.05; 0.22; -179.73
38787652.551998; -0.05; 0.22; -179.74
38802912.160000; -0.06; 0.22; -179.76
38820569.934998; -0.06; 0.22; -179.78
38835359.748001; -0.06; 0.22; -179.80
38853110.674000; -0.07; 0.22; -179.82
38867786.940002; -0.07; 0.22; -179.84
38883016.039001; -0.07; 0.22; -179.86
38900535.403000; -0.08; 0.22; -179.88
38915636.674000; -0.08; 0.22; -179.90
38933285.234001; -0.08; 0.22; -179.92
38947750.514000; -0.09; 0.22; -179.94
38963210.810001; -0.09; 0.22; -179.96
38980947.786999; -0.10; 0.22; -179.98
38995628.921997; -0.10; 0.22; 180.00
39010999.566002; -0.10; 0.22; 179.98
39028746.291000; -0.11; 0.22; 179.96
39043552.248001; -0.11; 0.22; 179.94
39061477.972000; -0.11; 0.22; 179.92
39076078.507000; -0.12; 0.22; 179.90
39091430.756001; -0.12; 0.22; 179.88
39106733.535000; -0.12; 0.22; 179.86
39123045.112999; -0.13; 0.22; 179.84
39141332.780998; -0.13; 0.22; 179.82
39155575.947998; -0.14; 0.22; 179.80
39170825.218998; -0.14; 0.22; 179.78
39188336.236000; -0.14; 0.22; 179.76
39203797.327000; -0.15; 0.22; 179.74
39218810.743999; -0.15; 0.22; 179.72
39236331.124001; -0.15; 0.22; 179.70
39250948.172001; -0.16; 0.22; 179.68
39268697.220997; -0.16; 0.22; 179.66
39282885.920002; -0.16; 0.22; 179.64
39300369.085003; -0.17; 0.22; 179.62
39315574.951000; -0.17; 0.22; 179.60
39332769.150002; -0.18; 0.22; 179.58
39346798.121002; -0.18; 0.22; 179.57
39363970.942001; -0.18; 0.22; 179.54
39378719.775002; -0.19; 0.22; 179.53
39395827.104000; -0.19; 0.22; 179.50
39413290.174999; -0.19; 0.22; 179.48
39429464.610001; -0.20; 0.22; 179.47
39443610.771004; -0.20; 0.22; 179.47
39460805.264999; -0.20; 0.22; 179.46
39474941.226997; -0.20; 0.22; 179.46
39492030.386002; -0.20; 0.22; 179.45
39509163.795998; -0.20; 0.22; 179.44
39523330.875000; -0.21; 0.22; 179.44
39540655.173000; -0.21; 0.22; 179.43
39554978.304001; -0.21; 0.22; 179.42
39572222.575001; -0.21; 0.22; 179.42
39587280.354000; -0.21; 0.22; 179.41
39605286.368999; -0.21; 0.22; 179.40
39619715.316998; -0.22; 0.22; 179.40
39634896.548000; -0.22; 0.22; 179.39
39652292.473000; -0.22; 0.22; 179.38
39666663.448002; -0.22; 0.22; 179.38
39684107.822002; -0.22; 0.22; 179.37
39699117.300999; -0.22; 0.22; 179.36
39716637.459000; -0.23; 0.22; 179.36
39730755.053997; -0.23; 0.22; 179.35
39748475.700001; -0.23; 0.22; 179.34
39763111.587997; -0.23; 0.22; 179.34
39780492.975002; -0.23; 0.22; 179.33
39795073.353001; -0.23; 0.22; 179.32
39812699.806000; -0.24; 0.22; 179.32
39827546.908001; -0.24; 0.22; 179.31
39842634.000999; -0.24; 0.22; 179.30
39860453.059002; -0.24; 0.22; 179.30
39875556.470001; -0.24; 0.22; 179.29
39890913.498001; -0.24; 0.22; 179.28
39908503.762997; -0.25; 0.22; 179.28
39923209.390999; -0.25; 0.22; 179.27
39940607.414001; -0.25; 0.22; 179.26
39955047.398003; -0.25; 0.22; 179.26
39972301.133003; -0.25; 0.22; 179.25
39986734.149998; -0.25; 0.22; 179.24
40004105.169003; -0.26; 0.22; 179.24
40019521.009003; -0.26; 0.22; 179.23
40036636.777000; -0.26; 0.22; 179.22
40050928.811001; -0.26; 0.22; 179.22
40068150.541000; -0.26; 0.22; 179.21
40083274.213001; -0.26; 0.22; 179.20
40100749.363998; -0.27; 0.22; 179.20
40115164.196999; -0.27; 0.22; 179.19
40132393.127003; -0.27; 0.22; 179.18
40146628.104000; -0.27; 0.22; 179.18
40163932.681000; -0.27; 0.22; 179.17
40181330.978001; -0.27; 0.22; 179.16
40195598.810001; -0.28; 0.22; 179.16
40212959.639000; -0.28; 0.22; 179.15
40227079.864002; -0.28; 0.22; 179.15
40244322.719002; -0.28; 0.22; 179.14
40259325.020000; -0.28; 0.22; 179.13
40276727.750000; -0.28; 0.22; 179.12
40291116.855000; -0.29; 0.22; 179.12
40308280.693001; -0.29; 0.22; 179.11
40325456.897999; -0.29; 0.22; 179.10
40339585.919998; -0.29; 0.22; 179.10
40356757.311001; -0.29; 0.22; 179.09
40371252.555000; -0.29; 0.22; 179.09
40388363.813000; -0.30; 0.22; 179.08
40405554.758999; -0.30; 0.22; 179.07
40419572.931000; -0.30; 0.22; 179.07
40434638.895000; -0.30; 0.22; 179.06
40452017.864002; -0.30; 0.22; 179.05
40469402.301003; -0.30; 0.22; 179.05
40483603.254002; -0.30; 0.22; 179.04
40500913.028000; -0.30; 0.22; 179.03
40515166.083000; -0.30; 0.22; 179.03
40532394.848000; -0.30; 0.22; 179.02
