time; right; left
834664361.4120026;0;0
835671022.1090012;0;0
836663944.9319992;0;0
837671429.0719986;0;0
838663452.3920021;0;0
839671382.5019989;0;0
840664454.1280022;0;0
841671891.1389999;0;0
